time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:38:49.446754,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.456752,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.466626,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.476650,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.486557,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.496692,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.506721,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.516709,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.526661,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.536740,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.546693,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.556752,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.566677,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.576578,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.586661,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.596653,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.606767,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.616733,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.626684,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.636701,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.646697,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.656717,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.666675,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
